stk1,stk2,flag,a,b
600106,600489,0,0,0
600106,601919,0,0,0
600106,995,0,0,0
600106,600583,0,0,0
600106,2168,0,0,0
600106,717,0,0,0
600106,826,0,0,0
600106,639,0,0,0
600106,585,0,0,0
600106,881,0,0,0
600106,620,0,0,0
600106,923,0,0,0
600106,2556,0,0,0
600106,2141,0,0,0
600106,600787,0,0,0
600106,338,0,0,0
600106,600019,0,0,0
600106,2677,0,0,0
600106,603819,0,0,0
600106,601111,0,0,0
600106,600697,0,0,0
600106,600350,0,0,0
600106,2833,0,0,0
600106,568,0,0,0
600106,897,0,0,0
600106,488,0,0,0
600106,2415,0,0,0
600106,603338,0,0,0
600106,601633,0,0,0
600106,812,0,0,0
600106,20,0,0,0
600106,2409,0,0,0
600106,603639,0,0,0
600106,401,0,0,0
600106,2200,0,0,0
600106,601607,0,0,0
600106,402,0,0,0
600106,600180,0,0,0
600106,603315,0,0,0
600106,603060,0,0,0
600106,2621,0,0,0
600106,600995,0,0,0
600106,600704,0,0,0
600106,886,0,0,0
600106,601186,0,0,0
600106,600851,0,0,0
600106,600148,0,0,0
600106,760,0,0,0
600106,603369,0,0,0
600106,600753,0,0,0
600106,300153,0,0,0
600106,596,0,0,0
600106,600990,0,0,0
600106,603889,0,0,0
600106,600477,0,0,0
600106,601699,0,0,0
600106,2085,0,0,0
600106,2762,0,0,0
600106,2447,0,0,0
600106,2146,0,0,0
600106,300095,0,0,0
600106,510,0,0,0
600106,993,0,0,0
600106,300343,0,0,0
600106,11,0,0,0
600106,600126,0,0,0
600106,428,0,0,0
600106,2253,0,0,0
600106,600694,0,0,0
600106,962,0,0,0
600106,2221,0,0,0
600106,600175,0,0,0
600106,601880,0,0,0
600106,600889,0,0,0
600106,600187,0,0,0
600106,2453,0,0,0
600106,2648,0,0,0
600106,600056,0,0,0
600106,14,0,0,0
600106,600539,0,0,0
600106,672,0,0,0
600106,600491,0,0,0
600106,601866,0,0,0
600106,300298,0,0,0
600106,601009,0,0,0
600106,2193,0,0,0
600106,636,0,0,0
600106,601008,0,0,0
600106,2575,0,0,0
600106,300401,0,0,0
600106,2539,0,0,0
600106,600026,0,0,0
600106,600519,0,0,0
600106,2304,0,0,0
600106,600083,0,0,0
600106,600128,0,0,0
600106,2262,0,0,0
600106,2051,0,0,0
600106,600581,0,0,0
600106,656,0,0,0
600106,2554,0,0,0
600106,2291,0,0,0
600106,159,0,0,0
600106,601668,0,0,0
