code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
000963,华东医药,化学制药,浙江,22.5,4.34,4.86,1415884.5,1163000.5,139107.52,343624.84,7.07,2.49,14.46,5.1,20000127,286022.28,5.88,17.11,28.89,25.23,6.32,12085
002267,陕天然气,供气供热,陕西,18.79,11.12,11.12,1048281.19,227797.41,638237.81,128990.01,1.16,0.372,4.68,1.99,20080813,227649.5,2.05,9.49,-3.23,14.06,8.24,30528
000936,华西股份,化纤,江苏,11.59,7.48,8.86,819220.19,313144.81,33020.65,50322.23,0.57,0.605,5.5,1.7,19990810,131931.81,1.49,-2.28,708.61,12.05,35.78,52406
600604,市北高新,园区开发,上海,82.27,3.82,9.37,1169635.88,766119.5,3551.12,404218.31,4.32,0.21,6.1,3.15,19920327,70723.25,0.76,727.93,658.91,41.32,15.28,71080
600302,标准股份,纺织机械,陕西,0.0,3.46,3.46,152712.94,116679.17,17769.59,34744.48,1.0,-0.106,3.24,3.01,20001213,19656.17,0.57,-15.75,12.39,18.74,-8.56,22682
601766,中国中车,运输设备,北京,27.08,229.18,272.89,34330236.0,22852422.0,5274261.5,2997661.25,1.1,0.276,3.68,2.7,20080818,4173738.0,1.53,-1.01,-5.54,22.52,5.11,1057261
600257,大湖股份,渔业,湖南,690.06,4.27,4.81,148478.2,80737.32,19168.47,12040.44,0.25,0.011,1.76,5.69,20000612,15916.63,0.33,6.74,21.22,25.43,0.99,34797
600835,上海机电,运输设备,上海,13.51,8.07,10.23,3122660.75,2613033.75,155312.73,204037.0,2.0,1.117,8.76,2.3,19940224,448206.44,4.38,-3.63,-29.41,21.36,8.04,68072
300264,佳创视讯,通信设备,深圳,0.0,3.19,4.13,67152.75,57081.96,1580.85,9648.55,0.23,-0.033,1.44,6.99,20110916,6592.62,0.16,22.63,-1090.81,26.81,-11.53,26977
603123,翠微股份,百货,北京,69.69,3.68,5.24,510222.69,180584.91,205716.22,173578.56,3.31,0.109,5.51,1.83,20120503,50342.44,0.96,-7.52,-38.79,20.03,1.47,18848
600059,古越龙山,红黄药酒,浙江,63.81,8.09,8.09,424335.06,266061.53,121302.45,188044.94,2.33,0.119,4.78,2.11,19970516,97044.45,1.2,16.83,12.35,33.99,8.56,49201
002433,太安堂,中成药,广东,35.6,6.75,7.71,655833.63,429565.91,87253.05,295087.5,3.83,0.213,5.92,1.71,20100618,81461.1,1.06,34.49,21.06,26.22,7.59,58639
600168,武汉控股,水务,湖北,21.41,7.1,7.1,848527.38,188514.38,533536.63,151263.94,2.13,0.355,6.38,1.59,19980427,207931.56,2.93,0.32,-0.91,28.9,29.35,42349
002448,中原内配,汽车配件,河南,27.32,4.59,5.88,267707.06,121470.63,94181.27,53186.05,0.9,0.28,3.62,2.82,20100716,91408.61,1.55,-1.67,6.38,37.45,19.61,99809
600240,华业资本,全国地产,北京,12.8,14.24,14.24,1820353.63,848361.31,20496.6,28096.43,0.2,0.609,3.73,2.79,20000628,353877.5,2.48,-5.81,25.62,19.87,23.63,37854
600483,福能股份,火力发电,福建,17.29,2.88,15.52,1771408.75,527943.19,999894.63,320489.69,2.07,0.46,6.23,1.67,20040531,234621.55,1.51,-7.18,1.81,27.62,15.41,29669
603778,乾景园林,建筑施工,北京,65.38,0.9,2.0,157837.45,156061.52,1119.12,32313.55,1.62,0.249,4.57,4.76,20151231,35375.23,1.77,0.23,45.53,24.64,15.77,19649
000978,桂林旅游,旅游景点,广西,60.01,3.6,3.6,274187.66,36429.53,100790.31,97098.46,2.7,0.137,4.19,2.61,20000518,10671.21,0.3,-6.75,54.82,47.12,13.78,29637
000828,东莞控股,路桥,广东,14.52,10.4,10.4,848974.38,259917.22,193417.02,114008.05,1.1,0.603,4.71,2.48,19970617,216673.41,2.08,15.82,2.85,70.56,68.91,41102
300147,香雪制药,中成药,广东,76.05,6.6,6.61,757341.5,288209.97,154599.98,213441.77,3.23,0.116,5.15,2.29,20101215,52684.86,0.8,21.56,-47.08,32.14,5.79,32481
600856,中天能源,供气供热,吉林,30.39,7.71,11.34,1210871.25,305296.75,80255.86,12791.5,0.11,0.18,1.95,6.05,19940425,89092.15,0.79,66.82,151.85,21.38,15.44,23871
600500,中化国际,商贸代理,上海,82.06,17.23,20.83,5198251.0,2480016.25,1051055.0,444103.59,2.13,0.108,5.44,2.17,20000301,456325.81,2.19,-11.5,-45.24,10.9,0.78,64768
600623,华谊集团,汽车配件,上海,69.61,9.34,21.17,3459739.25,1556458.25,1167624.0,897011.88,4.24,0.128,7.57,1.56,19921204,455800.0,2.15,15.13,-40.82,6.43,0.91,55446
600418,江淮汽车,汽车整车,安徽,21.03,10.17,18.93,5140934.0,3387612.5,1019963.63,532855.94,2.81,0.54,7.1,1.71,20010824,470672.94,2.49,12.4,25.94,9.75,2.14,73579
000926,福星股份,区域地产,湖北,12.95,7.11,9.49,4341239.0,3642359.5,163453.91,299084.34,3.15,0.704,10.33,1.18,19990618,460345.31,4.85,36.13,31.2,25.11,7.91,45334
002449,国星光电,半导体,广东,34.76,3.35,4.76,525539.56,305582.47,150115.02,160719.17,3.38,0.275,5.91,2.16,20100716,62471.91,1.31,25.64,6.59,20.58,7.81,38323
600658,电子城,园区开发,北京,59.88,5.8,7.99,807831.06,701112.81,12481.38,283797.06,3.55,0.21,7.16,1.79,19930524,187741.19,2.35,-18.29,-25.46,64.12,25.31,16832
600619,海立股份,机械基件,上海,152.53,4.61,8.66,1104799.0,578011.63,357884.44,210478.91,2.43,0.063,4.47,2.87,19921116,64210.32,0.74,18.83,21.05,14.31,1.04,53628
002587,奥拓电子,元器件,深圳,64.97,2.38,3.99,78299.74,57191.6,15595.95,3996.26,0.1,0.149,1.74,7.44,20110610,20891.52,0.52,36.85,305.42,56.69,21.24,42409
603377,东方时尚,汽车服务,北京,60.04,0.5,4.2,250959.55,109350.32,51023.55,75599.93,1.8,0.51,3.8,10.54,20160205,31028.3,0.74,-10.98,-22.25,53.61,23.08,11946
600622,嘉宝集团,区域地产,上海,44.49,5.14,6.83,1237970.5,1129183.75,9335.8,223943.7,3.28,0.26,7.25,2.07,19921203,170438.59,2.5,-8.97,-20.85,31.05,12.32,31290
002372,伟星新材,其他建材,浙江,20.1,6.8,7.76,327987.41,212612.95,67948.96,86800.71,1.12,0.58,3.24,4.74,20100318,81178.92,1.05,17.19,34.71,47.59,20.7,18699
600371,万向德农,种植业,黑龙江,87.35,2.25,2.25,80400.43,51407.21,14126.13,3090.59,0.14,0.135,1.79,8.73,20020916,10411.38,0.46,-7.16,267.56,31.42,16.43,18382
002039,黔源电力,水力发电,贵州,19.06,3.05,3.05,1754516.25,83783.11,1651592.5,114256.67,3.74,0.633,7.17,2.24,20050303,63349.26,2.07,-14.95,-26.16,53.12,11.49,16148
002250,联化科技,化工原料,浙江,45.74,5.51,9.05,580501.5,192402.27,282892.56,93449.22,1.03,0.264,5.14,3.14,20080619,240101.41,2.65,-23.13,-44.7,33.11,10.46,21981
600030,中信证券,证券,深圳,18.62,98.15,121.17,54789192.0,0.0,352210.19,5444910.0,4.49,0.655,11.51,1.41,20030106,4656262.5,3.84,-36.24,-50.33,0.0,29.37,560921
600557,康缘药业,中成药,江苏,26.27,4.42,6.16,457320.41,227606.55,174199.44,52043.3,0.84,0.475,4.97,3.35,20020918,168831.56,2.74,6.52,1.63,75.28,12.88,27748
600172,黄河旋风,矿物制品,河南,38.82,6.46,7.92,845345.88,287780.22,341486.5,235668.97,2.97,0.322,5.98,2.79,19981126,139328.59,1.76,34.15,62.09,38.89,14.93,45472
600843,上工申贝,纺织机械,上海,44.42,3.05,5.49,354229.16,238384.91,36254.56,96901.71,1.77,0.287,3.52,4.82,19940311,50781.28,0.93,22.56,2.08,29.05,7.69,60889
603779,威龙股份,红黄药酒,山东,176.4,0.5,2.0,144937.38,92808.13,27016.08,14475.42,0.72,0.17,3.76,9.06,20160516,37026.64,1.85,0.0,0.0,58.58,5.61,28231
600518,康美药业,中成药,广东,25.14,43.97,49.47,5300697.5,4287158.0,481593.94,1133456.63,2.29,0.56,5.76,3.05,20010319,811196.69,1.64,22.3,22.98,29.02,15.75,182226
000022,深赤湾Ａ,港口,深圳,20.02,4.65,6.45,671069.25,79602.68,307486.94,16748.02,0.26,0.663,7.15,2.48,19930505,327625.47,5.08,2.0,2.33,46.56,30.12,34249
002013,中航机电,航空,湖北,88.86,13.97,16.04,1865487.25,1217138.0,280260.56,301413.09,1.88,0.15,4.49,3.95,20040705,209165.52,1.3,11.3,27.58,23.0,4.81,61614
